ds,annee,yhat,yhat_lower,yhat_upper
1950-01-01,1950,7.159912171578948,0.5401247053507298,14.293124617761823
1951-01-01,1951,7.106835006334959,0.38563035636151577,14.459032579105022
1952-01-01,1952,7.053757841090969,0.11884232410401979,14.115044412177594
1953-01-01,1953,7.000535258977732,-0.33560109718449427,13.744008765060652
1954-01-01,1954,6.947458093755515,-0.3699756217478542,13.633456141051576
1955-01-01,1955,6.8943809285332955,-0.255939513420404,13.554212971559846
1956-01-01,1956,6.841303763318337,-0.32555904557052256,13.479437121003945
1957-01-01,1957,6.788081181212382,-0.4367519156980103,13.859930625824678
1958-01-01,1958,6.7350040159936215,-0.24147048344314384,13.723250807097443
1959-01-01,1959,6.681926850774863,-0.507602493102327,13.391439417458386
1960-01-01,1960,6.628849685556104,-0.4480756217958589,14.07152218189786
1961-01-01,1961,6.575627103464047,-0.6143308936927442,13.343211616293226
1962-01-01,1962,6.522549938262952,-0.48955919468749626,13.405685285956109
1963-01-01,1963,6.4694727730354655,-0.7658733474559631,13.399223866935175
1964-01-01,1964,6.416395607807977,-0.07030661081308197,12.829112867734898
1965-01-01,1965,6.3631730256916,-0.62160408180896,13.351606749047932
1966-01-01,1966,6.31009586046625,-0.5903986812556962,13.75526445101931
1967-01-01,1967,6.2570186952409,-0.6449391974815775,13.45801464925319
1968-01-01,1968,6.203941529999265,-1.030067951012502,13.323556986987246
1969-01-01,1969,6.150718947866556,-0.6926873305227857,12.822967227012072
1970-01-01,1970,6.09764178263677,-1.314557079858541,12.985151881619927
1971-01-01,1971,6.044564617406983,-0.6133494750811083,13.489302141983169
1972-01-01,1972,5.991487452177197,-1.1457590941815068,12.88379032454792
1973-01-01,1973,5.9382648700786955,-1.1028061268187137,12.830809519334906
1974-01-01,1974,5.885187704871175,-0.5496611197307909,13.118940621524983
1975-01-01,1975,5.832110539660727,-1.499259686026925,12.982619459905642
1976-01-01,1976,5.77903337445028,-0.61440625846229,12.866870567469572
1977-01-01,1977,5.725810792341564,-1.2899956314103753,13.003502313414641
1978-01-01,1978,5.672733627123854,-1.6475565724730958,12.927369320451007
1979-01-01,1979,5.619656461906146,-1.5167140528296852,12.763096602353539
1980-01-01,1980,5.5665792966794685,-1.546575083341447,12.486395036884485
1981-01-01,1981,5.513356714561761,-2.1956501718254247,12.447868032728444
1982-01-01,1982,5.460279549315222,-1.4531575638762264,12.544236403737328
1983-01-01,1983,5.407202384068681,-2.091834107775943,12.404017549606955
1984-01-01,1984,5.3541252188221415,-1.7622328827740235,12.294064548498323
1985-01-01,1985,5.300902636660907,-1.242719348450012,12.55339281469381
1986-01-01,1986,5.247825471390823,-1.8866179224087523,12.192848503472803
1987-01-01,1987,5.194748306107184,-1.6470217984470594,11.91010130111982
1988-01-01,1988,5.141671140823545,-2.3892154969006585,12.377012015579687
1989-01-01,1989,5.088448558655724,-1.9024544119452969,11.765762804228922
1990-01-01,1990,5.03537139337907,-2.0034323170110113,12.33175337673782
1991-01-01,1991,4.9822942281024165,-2.1775799763592194,11.921280968624014
1992-01-01,1992,4.929217062834965,-2.0762316588144096,12.164872551229246
1993-01-01,1993,4.87599448067637,-2.4195095148566144,12.094315558936595
1994-01-01,1994,4.822917315428755,-2.0263980372629136,11.928991942781654
1995-01-01,1995,4.769840150181138,-2.6911657395734685,12.191729615073928
1996-01-01,1996,4.716762984933523,-1.998677254501069,11.873771908032019
1997-01-01,1997,4.663540402814828,-2.8364041084117395,12.53318040788162
1998-01-01,1998,4.610463237587167,-2.7558408982899563,11.67442700760923
1999-01-01,1999,4.557386072331114,-2.759007064407205,11.385768783326576
2000-01-01,2000,4.504308907075061,-2.856444521949741,11.746187755983607
2001-01-01,2001,4.451086324937474,-2.7119305131956657,11.803303582593378
2002-01-01,2002,4.398009159690973,-2.4719788515173327,11.127194128659115
2003-01-01,2003,4.344931994444472,-2.416984567384832,11.089761707250531
2004-01-01,2004,4.29185482920324,-2.902070602174559,11.292901691575151
2005-01-01,2005,4.238632247070937,-2.564008585990021,11.19104291900627
2006-01-01,2006,4.185555081819435,-3.2632335427270847,11.171144117293279
2007-01-01,2007,4.132477916567932,-3.3512598500773234,11.28251102742028
2008-01-01,2008,4.079400751316429,-2.8646831057795867,11.067828457154237
2009-01-01,2009,4.0261781691667515,-3.1039493648335266,10.506425201790233
2010-01-01,2010,3.9731010039081927,-3.0254431393995214,10.934672333789388
2011-01-01,2011,3.92002383865217,-3.2627015430408,10.842536640055808
2012-01-01,2012,3.8669466733961473,-2.9122822572626883,10.96155994894177
2013-01-01,2013,3.8137240912490116,-3.4741630490140576,11.175653556615512
2014-01-01,2014,3.760646925992989,-3.4420015172957323,10.732735364991262
2015-01-01,2015,3.707569760736966,-3.136586616616632,10.78668554250954
2016-01-01,2016,3.654492595480943,-3.7126044118330204,10.774931797248838
2017-01-01,2017,3.6012700133338074,-3.614823631900655,10.743633826863864
2018-01-01,2018,3.5481928480777847,-3.307072278135515,9.99663240575059
2019-01-01,2019,3.495115682821762,-4.067903179259987,10.739792707298925
2020-01-01,2020,3.4420385175657393,-3.3147000101927513,10.639631566028307
2021-01-01,2021,3.388815935418603,-3.461999914358294,10.852508740196871
2022-01-01,2022,3.335738770162581,-3.6554467669450763,10.127971932195488
