annee,temp_moy_france
1900,11.504166666666668
1901,10.991666666666667
1902,11.104166666666666
1903,11.2125
1904,11.883333333333333
1905,11.112499999999999
1906,12.039130434782608
1907,11.254166666666668
1908,10.929166666666667
1909,10.375
1910,10.466666666666667
1911,12.120833333333332
1912,11.482608695652175
1913,10.93846153846154
1914,11.029166666666667
1915,11.262500000000001
1916,11.262500000000001
1917,10.41304347826087
1918,11.483333333333334
1919,11.436363636363636
1920,9.05
1921,10.652173913043478
1922,8.9375
1923,9.762500000000001
1924,9.504166666666666
1925,9.291666666666666
1926,10.229166666666666
1927,11.416666666666666
1928,11.08918918918919
1929,10.814583333333333
1930,11.05
1931,10.19672131147541
1932,10.498484848484848
1933,10.170833333333333
1934,10.836458333333333
1935,9.898780487804878
1936,10.256626506024096
1937,10.858064516129032
1938,10.235999999999999
1939,9.891176470588235
1940,9.604054054054055
1941,9.653260869565218
1942,10.070833333333333
1943,11.430208333333333
1944,10.182978723404256
1945,11.412087912087912
1946,10.90373831775701
1947,12.11880341880342
1948,10.973873873873876
1949,11.74375
1950,12.605882352941178
1951,12.12762312633833
1952,12.236546184738955
1953,12.020436507936509
1954,11.641716566866268
1955,11.999257884972172
1956,10.521442125237192
1957,11.90967741935484
1958,11.686823104693142
1959,12.915349544072948
1960,12.120512820512822
1961,12.991690140845071
1962,11.33233173076923
1963,11.047835738068812
1964,11.988519313304721
1965,11.579278350515464
1966,12.361957525392429
1967,12.195811051693406
1968,11.85
1969,11.689661482159194
1970,11.865037593984962
1971,11.850566037735849
1972,11.4941504178273
1973,11.756595365418894
1974,12.0644128113879
1975,11.997121083827265
1976,12.23325
1977,12.032303839732888
1978,11.482453416149069
1979,11.687195600942655
1980,11.29413654618474
1981,11.949333333333334
1982,12.671604938271606
1983,12.360562310030396
1984,11.661634805537245
1985,11.335122897800776
1986,11.703223880597015
1987,11.572670454545456
1988,12.375654596100278
1989,12.836683417085426
1990,12.916012725344643
1991,11.920995893223818
1992,12.275700458481916
1993,11.930450953045096
1994,13.246978021978023
1995,12.93383017163505
1996,11.906263882718791
1997,13.237538461538461
1998,12.56346499102334
1999,12.991107871720118
2000,13.174625422909617
2001,12.75603015075377
2002,13.26589186457807
2003,13.528214285714286
2004,12.602074898785425
2005,12.574121242995416
2006,13.316237113402062
2007,12.823152173913043
2008,12.447006651884701
2009,12.727484020918071
2010,11.520774431468961
2011,13.366276202219481
2012,12.439371069182389
2013,11.92957095709571
2014,13.425326909841706
2015,13.189183222958055
2016,12.824598930481285
2017,12.969273301737756
2018,13.517036450079239
2019,13.444393939393938
2020,13.76282919488337
2021,12.644590417310665
2022,14.258352758352759
2023,14.09898753894081
2024,13.645560747663552
2025,13.73605919003115
2026,8.334267912772587
