annee,industrie_energie,industrie_manufacturiere_construction,traitement_centralise_dechets,batiments_residentiel_tertiaire,agriculture,transports,emissions_naturelles,emnr,ges_total_MtCO2eq
1990,78.86128409910977,140.27619863143332,16.67193451024827,93.02918456852169,93.07602989063926,124.65911568848469,3.2369183832628603,11.243910824025935,561.0545765957257
1991,80.0992869932507,152.29177049875665,17.388498213144622,102.68097196325392,91.9861757136245,127.46227343792127,3.2557723444055564,11.317057645836806,586.481806810194
1992,81.3667673458075,139.7709172768866,18.11222176914454,98.85212229628036,91.42981699064168,131.68844122439887,3.2445932599140015,11.301679915383316,575.7665600784569
1993,69.07422669211317,134.2124097523877,18.839787767487437,95.21627705013778,90.27027439309349,132.03121358647223,3.293268985692783,11.311418745584048,554.2488769729687
1994,65.98090568237366,135.14122937611165,19.156823709210872,88.70464055764067,89.43589631402479,132.8198732314649,3.3343834380954314,10.620687682670937,545.1944399915928
1995,68.50885523651493,135.78017006689737,19.372943282580326,88.57623390867384,90.05277283434422,134.74919885954165,3.3393606289325994,11.068246500882143,551.4477813183671
1996,72.08758176342955,137.86532883552678,19.369686774334482,98.48456005595041,90.9141372092659,136.49751773678938,3.3441451024409683,11.20248020797028,569.7654376857078
1997,67.71244793253716,136.68450847089923,19.32243283841273,93.56803541506743,90.90524617328253,139.18668121708458,3.379821771939996,10.981905482336392,561.74107930156
1998,80.07309258934811,130.65582599231692,19.73307140681372,98.27810547066758,91.03357132661424,141.5446325148406,3.517638222562422,12.676552099852753,577.5124896230163
1999,73.1031078213036,127.90910563695176,19.97215145170238,99.99038553952172,91.4163046347898,143.96118983703087,3.5479937217473245,12.288770626818607,572.1890092698661
2000,71.7197435957744,124.70709643933391,20.377781709089252,96.5253988273197,93.81358634369093,143.9701545174369,3.689616015626522,11.94318561932063,566.7465630675922
2001,64.83795715996457,127.7380150916993,20.619044335106075,102.39201096666386,93.59848001128739,147.08461898994815,3.450893374861207,12.701908890640915,572.4229288201715
2002,67.33358746822236,123.99213108557989,20.89401512859764,98.18190966181021,91.73824421433669,147.95191190211105,4.373691049852164,14.04555230237749,568.5110428128875
2003,70.72371619664908,122.59074656479054,21.074865840170197,103.91016899319365,88.32486130192413,147.56224890436508,3.6105235870090455,13.914347748882339,571.711479136984
2004,69.25806441768604,117.46292593386353,20.95936158089779,108.81410651238235,89.50584583852851,147.71092291860262,3.6173094108409214,13.99624474606561,571.3247813588674
2005,74.3845526150887,118.14991357787598,20.796147017994144,107.84899493977684,88.79485175238463,145.1518104630351,3.5107688946977014,13.303123830446502,571.9401630912996
2006,70.20326285110201,117.35081629283346,20.748584811223232,103.34679337394897,87.9040377783132,144.94977159621996,3.7587208048046454,12.943528294009733,561.2055158024552
2007,69.77378762605385,116.18479311905806,20.63148598766837,96.1065966649029,88.29948901441675,143.67077405917618,3.821446517739688,12.184182548732842,550.6725555377486
2008,68.91581393988255,109.0801067127778,20.7121844737543,103.34584971570415,90.38690636757316,137.3747676694839,3.733308979815828,12.11241305106873,545.6613509100604
2009,66.76302215207592,89.93031255146373,20.17336797203766,105.71736844131189,89.37155836783825,136.9387648145463,3.792542208278821,11.648843757823904,524.3357802653765
2010,66.95832123008246,95.9390474868605,20.25564907928468,104.79100063500582,86.8262933138088,137.97744008266304,3.8073947983399963,10.996933880572113,527.5520805066174
2011,61.19809595759032,92.54905605355509,19.243180641439242,89.46207203555255,86.43394016143148,139.21647565210515,3.7610016390117926,12.102823720091965,503.9666458607776
2012,62.87881691494981,88.77400429273956,18.87263041125907,96.79411846739453,85.58050663330967,137.70557296751736,3.789457624639071,11.36834911048996,505.76345642229904
2013,60.82966382862041,90.10126201535806,17.04340912381781,99.03061338773298,85.4258673261924,137.2884962369807,3.8018355746548758,12.031435705591294,505.55258319894847
2014,47.198924241184955,87.08646314162546,16.28245293301821,82.29921751970625,87.01473273860282,136.8962473553705,3.8236418557456515,12.108342270887391,472.7100220561412
2015,49.955575936633124,84.6360066664399,15.221141124355743,85.44367448592993,86.5045246878633,138.33913256655404,3.8279777005928985,12.063351231699283,475.9913844000682
2016,53.5094247229998,84.26837039095062,15.264219579609865,85.88353156455861,84.91356485646929,138.7009240749114,3.8315764052410364,11.366420021515161,477.73803161625574
2017,57.23887693795957,83.98590223806832,15.31225055770833,85.30805237038376,84.59576250987497,138.61325261289468,3.836976374383619,11.121472836135124,480.01254643740833
2018,47.8432862643584,82.30458649569584,15.03117224216328,81.17625333919197,83.6893658976948,135.71330091074543,3.837427646592418,11.053559685404966,460.6489524818471
2019,46.02732033940712,79.63676691121555,16.274205772663606,77.81972081665862,81.8138922423373,134.4903984774203,3.8513979633614372,10.938567289039014,450.8522698121029
2020,40.900744178015124,70.99410940673349,16.212316114268212,73.00696825865987,81.30261185156257,113.65885642482507,3.853180106152119,11.857557380216008,411.78634372043246
2021,42.92557950880811,77.26471052385618,15.70788940095886,75.69246428052506,80.38573256899717,127.77999445115165,3.853180106152119,11.63857241563786,435.248123256087
2022,44.00397274030163,70.53508951848288,15.700513732299395,64.36194226815567,76.87720655324057,131.96621135040158,3.9162549581837163,11.256233487663547,418.617424608729
2023,36.96199449802448,63.31302044805736,15.65307863642262,57.453825224780715,76.34424100024502,126.36682550487112,3.9162549581837163,11.13943310487639,391.1486733754614
2024,33.1962659408233,62.433983027398085,15.65307863642262,57.05719706717845,75.96872834514379,124.89517965634145,3.9162549581837163,,373.1206876314914
2025,,,,0.0,,,0.0,,0.0
2026,,,,0.0,,,0.0,,0.0
